Justin Bieber,@justinbieber
Lady Gaga,@ladygaga
Katy Perry,@katyperry
Rihanna,@rihanna
Taylor Swift,@taylorswift13
Britney Spears,@britneyspears
Shakira,@shakira
Justin Timberlake,@jtimberlake
Jennifer Lopez,@JLo
Nicki Minaj,@NICKIMINAJ
Bruno Mars,@BrunoMars
P!nk,@Pink
Selena Gomez,@selenagomez
Marshall Mathers,@Eminem
demetria lovato,@ddlovato
Adele,@OfficialAdele
Alicia Keys,@aliciakeys
Chris Brown,@chrisbrown
Harry Styles,@Harry_Styles
Miley Ray Cyrus,@MileyCyrus
One Direction,@onedirection
Lil Wayne WEEZY F,@LilTunechi
Niall Horan,@NiallOfficial
Snoop Dogg,@SnoopDogg
Louis Tomlinson,@Louis_Tomlinson
Mariah Carey,@MariahCarey
Liam Payne,@Real_Liam_Payne
Coldplay,@coldplay
Wiz Khalifa,@wizkhalifa
Pitbull,@Pitbull
Avril Lavigne,@AvrilLavigne
Ashley Tisdale,@ashleytisdale
Kanye West,@kanyewest
Alejandro Sanz,@AlejandroSanz
iamdiddy,@iamdiddy
Zayn Malik,@zaynmalik
Ricky Martin,@ricky_martin
David Guetta,@davidguetta
Ivete Sangalo,@ivetesangalo
50cent,@50cent
Juanes,@juanes
Beyonc̩ Knowles,@Beyonce
Ludacris,@Ludacris
Usher,@UsherRaymondIV
Agnes Monica,@agnezmo
will.i.am,@iamwill
Paulina Rubio,@paurubio
Jessie J,@JessieJ
Jessica Simpson,@JessicaSimpson
Trey Songz,@TreySongz
Ed Sheeran,@edsheeran
Nick Jonas,@nickjonas
Carly Rae Jepsen,@carlyraejepsen
Sherina Munaf,@sherinamunaf
T-Raww,@Tyga
joe jonas,@joejonas
Soulja Boy,@souljaboy
Jason Mraz,@jason_mraz
Kelly Rowland,@KELLYROWLAND
David Bisbal,@davidbisbal
Calle 13,@Calle13Oficial
Luis Fonsi,@luisfonsi
Thalia,@thalia
Queen Latifah,@IAMQUEENLATIFAH
Daddy Yankee,@daddy_yankee
Vidi Aldiano,@vidialdiano
Cody Simpson,@CodySimpson
LMFAO,@LMFAO
Luan Santana,@luansantana
Christina Aguilera,@xtina
Cher Lloyd,@CherLloyd
Olly Murs,@ollyofficial
afgansyah reza,@afgansyah_reza
Lenny Kravitz,@LennyKravitz
Jonas Brothers,@JonasBrothers
John Legend,@johnlegend
Lily Allen,@lilyrosecooper
Rev Run,@RevRunWisdom
Adam Levine,@adamlevine
Sandy Leah,@SandyLeah
Mary J. Blige,@maryjblige
Sean Kingston,@SeanKingston
Jaden Smith,@officialjaden
Big Sean,@BigSean
Cheryl Cole,@CherylCole
T.I.,@Tip
Kelly Clarkson,@kelly_clarkson
Yoko Ono,@yokoono
Ricardo Montaner,@montanertwiter
Mac Miller,@MacMiller
LL COOL J,@llcoolj
Chayanne,@CHAYANNEMUSIC
Ne-Yo,@NeYoCompound
J. Cole,@JColeNC
Juan Luis Guerra,@JuanLuisGuerra
Miranda Cosgrove,@MirandaCosgrove
Enrique Iglesias,@enrique305
Ciara,@ciara
Siwon Choi,@siwon407
Ke$ha,@keshasuxx
